機構名稱,縣市,行政區,地址全址,特約服務項目,機構電話,電子郵件,機構負責人姓名
澴山藥局,臺北市,內湖區,臺北市內湖區環山路一段4號,專業照護服務,8797-8793,gisele2717@gmail.com,葉芃宜
安民家庭醫學科診所,臺北市,大安區,臺北市大安區大安路一段65號2樓之1,專業照護服務,2721-8556,am.clinic@msa.hinet.net,林安民
起辰物理治療所,臺北市,大安區,臺北市大安區信義路四段65號3樓,專業照護服務,2706-0055,probrain27060055@gmail.com,胡曼文
鈺沁居家護理所,臺北市,中正區,臺北市中正區中華路一段59號3樓之6,專業照護服務,2857-8811,stellatin@hotmail.com,吳宜庭
回復點藥局,臺北市,大安區,臺北市大安區大安路一段65號2樓之1,專業照護服務,2721-8597,recoverypointmacy@gmail.com,許凱婷
澄歆居家護理所,臺北市,文山區,臺北市文山區台北市景文街1號11樓之7,專業照護服務,02-89351193,shcnc0928@gmail.com,周玉妹
宏光物理治療所,臺北市,信義區,臺北市信義區虎林街38號,專業照護服務,2765-1220,greatlight.ptc@gmail.com,方志宏
璟馨居家護理所,新北市,土城區,新北市土城區延吉里延吉街76號3樓,專業照護服務,7723-0968,jxhomecare@gmail.com,洪慧珍
尚好物理治療所,臺北市,士林區,臺北市士林區重慶北路四段250號3樓,專業照護服務,2816-4533#325,gn01710202@gmail.com,周祺鈞
全福物理治療所,臺北市,大安區,臺北市大安區忠孝東路三段10巷3號7樓,專業照護服務,0909-179-279,s09179279@gmail.com,徐振瑋
朗朗語言治療所,臺北市,中正區,臺北市中正區忠孝西路一段45號11樓之4,專業照護服務,0935-919-971,pj@ms37.url.com.tw,許珮蓁
挺好居家職能治療所,臺北市,北投區,臺北市北投區石牌路二段130巷4號,專業照護服務,0970-595-059,ihcr3975@gmail.com,栢添源
純居家物理治療所,臺北市,萬華區,臺北市萬華區東園街73巷60號3樓,專業照護服務,0921-607-540,charliology@gmail.com,鍾詩偉
可馨居家護理所,臺北市,大安區,臺北市大安區忠孝東路四段162號9樓之五室,專業照護服務,2239-8785,newtype78412@yahoo.com.tw,余儒
可苡營養諮詢中心,臺北市,士林區,臺北市士林區文林路714巷7號1樓,專業照護服務,0916-882-252,koiinutrition@gmail.com,黃苡菱
禾悅物理治療所,臺北市,松山區,臺北市松山區光復北路8號2樓,專業照護服務,2578-3923,heyuept@gmail.com,陳欽得
 啟宗心理諮商所,臺北市,大安區,臺北市大安區東豐街7號5樓之2,專業照護服務,2325-4066,openmindcenter1050820@gmail.com,林世莉
適康復健科診所,臺北市,內湖區,臺北市內湖區文德路141號,專業照護服務,0920-095-460,g39110004@gmail.com,陳建宏
旺得福居家物理治療所,臺北市,中山區,臺北市中山區民權西路20號10樓之11,專業照護服務,02-28113890,spring85331@hotmail.com,沈春儀
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院八里區龍源里(醫事C),新北市,八里區,新北市八里區龍源里龍米路一段223-1號,巷弄長照站,02-28094661轉2160,love771005.b718@mmh.org.tw,廖麗華
愛護家健康事業股份有限公司附設臺北市私立愛護家居家長照機構,臺北市,中山區,臺北市中山區晴光里中山北路3段31號7樓之1,專業照護服務,02-2599-5665,vera@inursingplus.com,張淑貞
臺北市私立文德老人長期照顧中心(養護型),臺北市,內湖區,臺北市內湖區紫陽里011鄰陽光街70-2、70-3、72、72-1號1樓,喘息服務,02-26581303,wendeolderman@gmail.com,江光輝
臺北市私立天玉老人長期照顧中心(長期照護型),臺北市,士林區,臺北市士林區天玉里天玉街38巷18弄18號1-6樓,喘息服務,02-2872-0239 ,tianyu3818@gmail.com,林海珠
臺北市私立全寶老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區永欣里013石牌路二段315巷2號-2之一號1樓,喘息服務,02-28710792,cb28710792@yahoo.com,古倩
臺北市私立全家老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區永和里007鄰行義路96巷1號1~2樓,喘息服務,02-28761692,cj61245@yahoo.com.tw,陳非
臺北市私立全泰老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區永和里007鄰行義路105號,喘息服務,02-28747739,ct28747739@gmail.com,陳莉茵
福田居家有限公司私立福田居家長照機構,臺北市,信義區,臺北市信義區松光里忠孝東路5段492巷2號2樓,喘息服務,02-27270065,futain@futaincare.com.tw,林永峰
宗展股份有限公司附設臺北市私立辰心居家長照機構,臺北市,大同區,臺北市大同區永樂里西寧北路112號4樓之1,喘息服務,02-25580208,8hq008@gmail.com,簡裕宗
樂福健康事業有限公司附設臺北市私立樂福居家長照機構,臺北市,大同區,臺北市大同區永樂里西寧北路81號5樓之2,喘息服務,225598079,lovefu0514@gmail.com,吳海銘
臺北市私立璞馨居家長照機構,臺北市,萬華區,臺北市萬華區忠德里東園街66巷21弄51號2樓,喘息服務,937927528,daphne19840804@gmail.com,李凱婷
臺北市私立上上老人養護所,臺北市,大安區,臺北市大安區仁慈里009鄰復興南路1段279巷14、16號1樓,喘息服務,27032223,shangshang58@yahoo.com.tw,李惠珍
臺北市私立健全老人長期照顧中心(養護型),臺北市,大安區,臺北市大安區錦華里001鄰金山南路二段152號2-6樓,喘息服務,23943265,janquan106@gmail.com,游祥祺
臺北市政府社會局委託財團法人台灣省私立健順養護中心經營管理臺北市松山社區式長期照顧服務機構,臺北市,松山區,臺北市松山區鵬程里健康路317號2樓,喘息服務,02-27685636,sselder105@gmail.com,黃禎祥
臺北市政府社會局委託財團法人喜憨兒社會福利基金會經營管理中山身障社區長照機構（日間照顧）,臺北市,中山區,臺北市中山區中山里長安西路5巷2號4樓,喘息服務,02-25211032,t01058@careus.org.tw,蕭淑珍
財團法人恆安社會福利慈善事業基金會附設臺北市私立恆安居家式服務類長期照顧服務機構,臺北市,大安區,臺北市大安區群賢里和平東路二段295號12樓,喘息服務,02-2333-1955,hanganhomecare@gmail.com,胡世賢
私立愛吾愛居家長照機構,臺北市,萬華區,臺北市萬華區大理街171號2樓201室,喘息服務,02-23087286,n01d.iwoi@gmail.com,許惠容
臺北市私立同德老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區榮華里榮華里004鄰明德路306巷1-7樓,喘息服務,02-28281328,a31831661@gmail.com,李佩芡
臺北市立關渡醫院-委託臺北榮民總醫院經營附設居家護理,臺北市,北投區,臺北市北投區知行路225巷12號,喘息服務,2858-7000 #7809,sychang36@gandau.gov.tw,鍾秀玲
安養照護發展促進協會(社照C),新北市,林口區,新北市林口區菁湖里中山路188號1樓之3,巷弄長照站,988587216,amy650509@hotmail.com,高主安
新北市未來市樂活長青關懷協會(社照C),新北市,林口區,新北市林口區湖南里文化二路一段557號3樓之2,巷弄長照站,988587216,amy650509@hotmail.com,許秀蘭
社團法人中華基督教合一宣教協會,臺北市,大安區,臺北市大安區義村里忠孝東路三段136號13樓,巷弄長照站,02-87720775,divine201056@gmail.com,黃貴鳳
中華民國紅十字會台灣省分會(社照C),臺北市,大安區,臺北市大安區龍坡里新生南路三段20-1號4樓,巷弄長照站,02-23630098,rct03702883@gmail.com,董光世
旅北都蘭部落文化藝術團,新北市,三峽區,新北市三峽區龍學里隆恩街241號,巷弄長照站,02-26722340,ccchungdaw@mohw.gov.tw,徐秀武
巴歌浪,新北市,中和區,新北市中和區連和里建康路270號4樓,巷弄長照站,02-8245-9893,ccchungdaw@mohw.gov.tw,林花麗
新北市原住民家庭關懷協會,新北市,汐止區,新北市汐止區山光里樟樹一路137巷26號2樓,巷弄長照站,02-26426598,ccchungdaw@mohw.gov.tw,黃秀英
新北市樹林區原住民族發展協進會,新北市,樹林區,新北市樹林區中山里中山路三段40號3樓,巷弄長照站,02-35016895,shuline.pangcah@gmail.com,陳宗伶
適健復健診所,臺北市,大安區,臺北市大安區建倫里忠孝東路四段166號,居家失能個案家庭醫師照護服務,02-87717039,scrc.service@gmail.com,陳昭蓉
蘇診所,新北市,新莊區,新北市新莊區民安路109號1樓,居家失能個案家庭醫師照護服務,222069926,min123an456road@gmail.com,蘇石泉
行一診所,臺北市,大安區,臺北市大安區新生南路3段19巷8號3樓之1,居家失能個案家庭醫師照護服務,02-2784-0735,xingyiclinic@gmail.com,張凱評
欣昇復健科診所,臺北市,大安區,臺北市大安區復興南路一段283號,居家失能個案家庭醫師照護服務,2700-8805,xsrehab@gmail.com,洪維
李文珍小兒科診所,臺北市,南港區,臺北市南港區研究院路二段74號,居家失能個案家庭醫師照護服務,26541871,liwennchenn@gmail.com,李文珍
大直復健科診所,臺北市,中山區,臺北市中山區北安路630巷25弄16號,居家失能個案家庭醫師照護服務,85096879,paoshow@hotmail.com,陳奕錫
原力復健科診所,臺北市,信義區,"臺北市信義區基隆路2段145號B1,1,2樓",居家失能個案家庭醫師照護服務,27327311,christine1040606@gmail.com,侯鐘堡
育睿診所,臺北市,內湖區,臺北市內湖區 內湖路1段217巷35號,居家失能個案家庭醫師照護服務,26560801,yourray99@gmail.com,賴曉虹
王永良診所,臺北市,北投區,臺北市北投區自強街94號1樓,居家失能個案家庭醫師照護服務,921125765,emer2314@gmail.com,王永良
洪耳鼻喉科診所,臺北市,北投區,臺北市北投區中央南路一段43號,居家失能個案家庭醫師照護服務,910114962,Hungtj66@ms31.hinet.net,洪德仁
民族骨科診所(醫事C),新北市,蘆洲區,新北市蘆洲區仁義里集賢路336巷7號,巷弄長照站,(02)2848-5500,winniechien@usmg.com.tw,蘇治原
德興診所(醫事C),新北市,蘆洲區,新北市蘆洲區仁德里三民路26巷31弄10號及12號1樓,巷弄長照站,(02)2285-5598,gaga200476@gmail.com,蔡燿州
長安骨科診所(醫事C),新北市,蘆洲區,新北市蘆洲區永康里長安街277號2樓,巷弄長照站,28485500,winniechien@usmg.com.tw,曾耀弘
正生婦幼聯合診所(醫事C),新北市,中和區,新北市中和區和興里中正路122號3樓,巷弄長照站,22446969 轉313,baby.w0708@gmail.com,陳先正
臺北市私立雲朵社區長照機構,臺北市,中正區,臺北市中正區幸福里杭州南路1段63號4樓之1,日間照顧服務,02-23911898,pink121634@gmail.com,方明
安民家庭醫學科診所,臺北市,大安區,臺北市大安區大安路一段65號2樓之1,居家失能個案家庭醫師照護服務,2721-8556,am.clinic@msa.hinet.net,林安民
臺北市私立跑居家長照機構,臺北市,士林區,臺北市士林區葫東里重慶北路4段250號3樓313室,居家服務,02-28161255,rcago313@gmail.com,吳正昕
有限責任臺灣第二照顧服務勞動合作社附設臺北市私立二顧居家長照機構,臺北市,中正區,臺北市中正區羅斯福路一段102號8樓,居家服務,02-25527608,tpservice@secondcare.org.tw,伍崑崙
與樂職能治療所,臺北市,南港區,臺北市南港區八德路四段881號2樓,專業照護服務,3762-2208,withhappiness.service@gmail.com,陳姵君
臺北市私立安家居家長照機構,臺北市,文山區,臺北市文山區景行里景文街42號3樓302室,居家服務,29333468,Anchia468@gmail.com,吳米加
元愷有限公司附設臺北市私立安愷居家長照機構,臺北市,中山區,臺北市中山區正得里長安東路1段21號3樓,居家服務,2522-1993,taco062169@gmail.com,蔡秉峰
社團法人善安心理健康協會(社照C),新北市,林口區,新北市林口區西林里竹林路80-1號,巷弄長照站,0930-008906,084007@mail.hwu.edutw,劉語婕
財團法人新北市金包里慈護宮(社照C),新北市,金山區,新北市金山區和平里金包里街1-1號,巷弄長照站,2498-2510,cihugong@gmail.com,游忠義
三芝區三和社區照顧關懷據點(社照C),新北市,三芝區,新北市三芝區新庄里新庄里番社后3-1號,巷弄長照站,(02)26365499,info@slsf.org.tw,蔡政道
新北市中和區碧湖社區發展協會(社照C),新北市,中和區,新北市中和區錦昌里圓通路367巷7號1樓,巷弄長照站,02-22421287,pig8008159494@gmail.com,邱尾玟
財團法人介惠社會福利慈善基金會新北市萬里瑪鋉公共托老中心(社照C),新北市,萬里區,新北市萬里區萬里里瑪鋉路221號3F,巷弄長照站,(02)24928312,tsliu@jhf.org.tw,胡頤仁
社團法人台灣樂活服務發展協會中和連城站(社照C),新北市,中和區,新北市中和區連城里新北市中和區連城里連城路89巷36號,巷弄長照站,920074192,joy.family@seed.net.tw,馬瑞辰
中和區建和里辦公處(社照C),新北市,中和區,新北市中和區建和里連城路263巷4號,巷弄長照站,22490243,test@gmail.com,江曉佩
新北市多元智能老幼暨兒童教育發展協會(社照C),新北市,中和區,新北市中和區福善里景平路736巷5弄2號,巷弄長照站,22895931,elite.everyday@gmail.com,李姿慧
社團法人新北市幸福種子全人關懷協會(社照C),新北市,中和區,新北市中和區錦中里錦和路388號2樓,巷弄長照站,02-2244-2638,syangpeng@gmail.com,邱德茂
財團法人介惠社會福利慈善基金會新北市金山金包里公共托老中心(社照C),新北市,金山區,新北市金山區金美里中山路257號1、2樓,巷弄長照站,(02)24082114,chshen@jhf.org.tw,胡頤仁
新北市八里區大崁里辦公處(社照C),新北市,八里區,新北市八里區大崁里中山路一段21號,巷弄長照站,(02)8630-1926,in540108@yahoo.com.tw,林秀真
中華民國樂齡生活規劃協會(福壽站)(社照C),新北市,新莊區,新北市新莊區信義里昌明街1號,巷弄長照站,928009650,nhppkn@gmail.com,陳宏定
中華民國樂齡生活規劃協會(福前站)(社照C),新北市,新莊區,新北市新莊區福基里化成路746巷2號2樓,巷弄長照站,928009650,nhppkn@gmail.com,陳宏定
中華民國紅十字會台灣省分會附設臺北市私立紅十字居家式服務類長期照顧服務機構,臺北市,大安區,臺北市大安區龍坡里新生南路3段20之1號2樓,個案管理服務,02-23637794,rct@seed.net.tw,董光世
財團法人弘道老人福利基金會,臺北市,松山區,臺北市松山區復興北路451號1樓,個案管理服務,02-66131314,yvonne@hondao.org.tw,王乃弘
財團法人台北市中國基督教靈糧世界佈道會士林靈糧堂,臺北市,士林區,臺北市士林區忠誠路二段53巷7號5樓,個案管理服務,02-26561700#253,a.xihu@slsc.org.tw,許本爵
社團法人中華民國士林靈糧堂社會福利協會,臺北市,士林區,臺北市士林區延平北路五段83巷28弄11號1樓,個案管理服務,02-28110515,homeservice@slsc.org.tw,劉群茂
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,中山區,臺北市中山區中山北路二段92號,個案管理服務,02-25604176,mwang@mmh.org.tw,張文瀚
天行健診所,臺北市,萬華區,臺北市萬華區寶興街121、125、127號,居家失能個案家庭醫師照護服務,2332-0688,sky9623@gmail.com,陳行健
臺北市立聯合醫院,臺北市,大同區,臺北市大同區鄭州路145號,個案管理服務,02-25989917,B5646@tpech.gov.tw,蕭勝煌
臺北醫學大學附設醫院,臺北市,信義區,臺北市信義區吳興街252號,個案管理服務,02-27372181#3938,tmchchn@h.tmu.edu.tw,施俊明
社團法人台灣多元社會福利協會-蘆洲安德(社照C),新北市,蘆洲區,新北市蘆洲區樓厝里復興路274號1樓,巷弄長照站,82820112,tapdsw@gmail.com,林政緯
中菁社區發展協會,新北市,,新北市17鄰菁埔23號,巷弄長照站,(02)26033907,,
社團法人台灣新希望社區關懷協會-鷺江站(社照C),新北市,蘆洲區,新北市蘆洲區鷺江里民族路7號(鷺江國小),巷弄長照站,922295129,chadlu247@gmail.com,葉聯邦
社團法人新北市恩典慈善協會(社照C),新北市,三重區,新北市三重區光明里重安街46號1樓,巷弄長照站,29735089,st45682003@yahoo.com.tw,李全成
新北市福齡松青會(社照C),新北市,三重區,新北市三重區民生里大同北路186號B1、1樓,巷弄長照站,2983-5938,cherichsiao@gmail.com,林哲夫
社團法人燈塔全人關懷協會(社照C),新北市,蘆洲區,新北市蘆洲區永康里長安街220巷14號,巷弄長照站,82823442,chiaenlo@gmail.com,羅加恩
中華民國紅心字會(信義區),臺北市,信義區,臺北市信義區四維里虎林街74巷2號1樓,個案管理服務,02-27660227,xinyitw@yahoo.com.tw,劉緒倫
國立臺灣大學醫學院附設醫院北護分院,臺北市,萬華區,臺北市萬華區內江街87號,個案管理服務,223717101,B40731@bh.ntuh.gov.tw,陳永銘
淡水區正德里辦公處(社照C),新北市,淡水區,新北市淡水區正德里北新路141巷27號1樓,巷弄長照站,952652587,ccchungdaw@mohw.gov.tw,黃俊雄
台灣基督徒見證協會(社照C),新北市,淡水區,新北市淡水區學府路36號4樓,巷弄長照站,02-2626-7454轉108,aiai@church.com.tw,鄭惠美
新北市樹林區山佳社區發展協會(社照C),新北市,樹林區,新北市樹林區中山里地政街12號,巷弄長照站,(02)26805561,0935630570a@gmail.com,簡玉春
社團法人中華慈雲慈善利生推廣協會(社照C),新北市,樹林區,新北市樹林區彭福里太平路127巷14號1樓,巷弄長照站,(02)86845058,fayu991010@gmail.com,陳永涸
財團法人台北市立心慈善基金會,臺北市,萬華區,臺北市萬華區桂林路242巷4號4樓之2?,個案管理服務,02-23361500#14,lishinc42@gmail.com,洪金桐
財團法人伊甸社會福利基金會,臺北市,文山區,臺北市文山區萬芳里萬美街一段55號3樓,個案管理服務,02-22307715,eden8378@eden.org.tw,羅紀琼
臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市,北投區,臺北市北投區知行路225巷12號,個案管理服務,02-28587000,yhpan@gandau.gov.tw,陳亮恭
社團法人中華民國天元慈善功德會(社照C),新北市,板橋區,新北市板橋區鄉雲里四川路2段16巷5號10樓,巷弄長照站,8967-3536,senior@ty.org.tw,張陳秀梅
新北市板橋區歡園社區發展協會(社照C),新北市,板橋區,新北市板橋區重慶路10號8樓,巷弄長照站,939947613,rosebearmother@yahoo.com.tw,劉炳偉
新北市板橋溪崑關懷慈善會(崑崙)(社照C),新北市,板橋區,新北市板橋區篤行路二段131巷17號,巷弄長照站,0989-001823,ben1040@kimo.com,陳淑美
新北市耆光協會(社照C),新北市,板橋區,新北市板橋區文聖街227號,巷弄長照站,8257-2509,sakura22647342@gmail.com,林秋惠
新北市板橋大後埔文化關懷協進會(板橋和平站)(社照C),新北市,板橋區,新北市板橋區和平路安樂巷51號 ,巷弄長照站,22729088,sunlai689@gmail.com,王明發
新北市板橋區玉山青年會(華中)(社照C),新北市,板橋區,新北市板橋區僑中一街102巷7弄3號,巷弄長照站,02-2968-0023,yusulan0987189148@gmail.com,呂昆洋
新北市板橋區玉山青年會(後埔)(社照C),新北市,板橋區,新北市板橋區重慶路89巷9弄2號,巷弄長照站,02-2272-9088,yusulan0987189148@gmail.com,呂昆洋
新北市淡水區屯山里辦公處(社照C),新北市,淡水區,新北市淡水區屯山里石頭厝9-3號,巷弄長照站,932027594,guoliqing11@yahoo.com.tw,謝炳坤
皓仁健康照護事業有限公司附設新北市私立皓仁居家式服務類長期照顧服務機構,新北市,汐止區,新北市汐止區大同里大同路二段240號11樓,居家服務,02-26480680,yenjen@haoren.com.tw,謝李麗雲
佳顧股份有限公司附設臺北市私立佳顧居家長照機構,臺北市,中山區,臺北市中山區集英里中山北路2段102號11樓,喘息服務,02-2511-2595,drmake888@gmail.com,孫蓁如
私立好幫守居家長照機構,臺北市,士林區,臺北市士林區葫蘆里延平北路5段225號4樓之2,喘息服務,28112766,ucareliving@gmail.com,林玟葉
盤古銀髮股份有限公司附設臺北市私立家倍安居家長照機構,臺北市,大同區,臺北市大同區民權里民權西路118巷12號1樓,喘息服務,25539986,nancy.bear@lapangu.com.tw,林偉正
有限責任臺北市樂見在照顧服務勞動合作社附設私立樂見在居家長照機構,臺北市,松山區,臺北市松山區中崙里松山區八德路二段447號7樓,喘息服務,02-2303-0369,Lcancarer@gmail.com,倪玲娜
愛志股份有限公司附設臺北市私立愛志居家長照機構,臺北市,南港區,臺北市南港區東新里重陽路120號3樓309室,喘息服務,02-27882211,service@earth-want.com.tw,森山典明
臺北市私立愛家居家長照機構,臺北市,中山區,臺北市中山區新庄里新生北路3段87巷23號,喘息服務,02-25966934,tzning1975@gmail.com,黃姿寧
耆康實業有限公司附設臺北市私立小太陽居家長照機構,臺北市,松山區,臺北市松山區自強里三民路35巷9號2樓,喘息服務,27420058,tw.softlife@gmail.com,嚴成茂
社團法人台灣多元社會福利協會私立多福居家長照機構,臺北市,北投區,臺北市北投區溫泉里溫泉路68之10號,喘息服務,02-28927001,dofuhs@gmail.com,林政緯
元愷有限公司附設臺北市私立安愷居家長照機構,臺北市,中山區,臺北市中山區正得里長安東路1段21號3樓,喘息服務,2522-1993,taco062169@gmail.com,蔡秉峰
社團法人台灣立享長照服務教育發展協會附設新北市私立立享居家長照機構,新北市,中和區,新北市中和區橋安街9號7樓,喘息服務,2248-0061,lishnool@gmail.com,朱柏霖
臺北市私立仁群居家長照機構,臺北市,中山區,臺北市中山區下埤里民族東路512巷12號1樓,喘息服務,02-25016299,kindhomeservice@gmail.com,劉昱森
有限責任臺灣第二照顧服務勞動合作社附設臺北市私立二顧居家長照機構,臺北市,中正區,臺北市中正區羅斯福路一段102號8樓,喘息服務,02-25527608,tpservice@secondcare.org.tw,伍崑崙
喜樂園長照股份有限公司附設臺北市私立喜樂園居家長照機構,臺北市,松山區,臺北市松山區吉祥里八德路4段123號2樓之4,喘息服務,27602270,formosacpa@gmail.com,張經緯
臺北市私立安家居家長照機構,臺北市,文山區,臺北市文山區景行里景文街42號3樓302室,喘息服務,29333468,Anchia468@gmail.com,吳米加
財團法人臺北市松年長春社會福利基金會私立松年長春居家長照機構,臺北市,中山區,臺北市中山區行仁里龍江路318巷5、7號1樓及5號地下室,喘息服務,02-25000261,pinema@twdc.org.tw,黃春生
臺北市私立跑居家長照機構,臺北市,士林區,臺北市士林區葫東里重慶北路4段250號3樓313室,喘息服務,02-28161255,rcago313@gmail.com,吳正昕
社團法人中華民國士林靈糧堂社會福利協會附設臺北市私立安馨居家式服務類長期照顧服務機構,臺北市,士林區,臺北市士林區富光里延平北路五段83巷28弄11號,喘息服務,02-28110515,homeservice@slsc.org.tw,劉群茂
社團法人台灣德安社會福利協會受託經營管理臺北市大安老人服務中心,臺北市,大安區,臺北市大安區德安里四維路76巷12號,喘息服務,27086255,daanolder@gmail.com,陳敏雄
臺北市私立福成老人長期照顧中心(養護型),臺北市,中山區,臺北市中山區松江路374、380、382號4樓,喘息服務,02-25982507,fc25982507@gmail.com,蕭憲宗
臺北市政府社會局委託天主教耕莘醫療財團法人永和耕莘醫院經營管理臺北市至善老人安養護中心,臺北市,士林區,臺北市士林區永福里001鄰仰德大道2段2巷50號,喘息服務,28832666,zhi.shan@msa.hinet.net,趙嘉倫
臺北市私立福喜老人長期照顧中心(養護型),臺北市,中山區,臺北市中山區松江路374、380、382號7樓,喘息服務,02-25919087,xi25917151@gmail.com,柯乾元
臺北市私立晉安老人長期照顧中心(養護型),臺北市,大同區,臺北市大同區至聖里032鄰重慶北路3段175、177號1~4樓,喘息服務,02-2598-2301,jinan.yanghu@msa.hinet.net,吳世均
新北市私立中原老人長期照顧中心(養護型),新北市,中和區,新北市中和區中山路2段560號6樓、6樓之1,喘息服務,02-22286187,Jhongyuan104@gmail.com,黃明發
新北市私立皇佳老人長期照顧中心(養護型),新北市,中和區,新北市中和區中原里中山路二段562號,喘息服務,02-22261133,royal2226@gmail.com,黃伯超
景美醫院附設護理之家,臺北市,文山區,臺北市文山區萬慶街18號3、4樓,喘息服務,02 29332962,jmn.ehg.hr@gmail.com,蘇芝慧
紅樹林護理之家,新北市,淡水區,新北市淡水區中正東路一段111巷22號1至7樓,喘息服務,02-26260766,a26260766@yahoo.com.tw,杜詠菁
臺北市私立賢暉老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區永欣里016鄰石牌路2段315巷34弄14、16號1樓,喘息服務,02-28710770,sabinaangel1214@gmail.com,蔡玉真
景安護理之家,新北市,中和區,新北市中和區景安路42號5樓、46號4至5樓、50號3至4樓,喘息服務,02-22489826,lulu0324mama@yahoo.com.tw,鄭秀萍
原力復健科診所,臺北市,信義區,"臺北市信義區基隆路2段145號B1,1,2樓",專業照護服務,27327311,christine1040606@gmail.com,侯鐘堡
大直復健科診所,臺北市,中山區,臺北市中山區北安路630巷25弄16號,專業照護服務,85096879,paoshow@hotmail.com,陳奕錫
康寧醫療財團法人康寧醫院,臺北市,內湖區,臺北市內湖區成功路五段４２０巷２６號,專業照護服務,26345500,knh2061@mail.knh.org.tw,尹長生
振芝心身醫學診所,臺北市,中山區,臺北市中山區復興北路282號2樓,專業照護服務,2506-9169,info@blossomclinic.org,洪敬倫
杏誠復健科診所,臺北市,大安區,臺北市大安區信義路四段173號2樓,喘息服務,2706-1732,xc.clinic@gmail.com,楊峯芃
永誠復健科診所,臺北市,大安區,臺北市大安區復興南路二段236號2樓,專業照護服務,2707-1608,yc.clinic@msa.hinet.net,裴松毅
康健居家護理所,臺北市,內湖區,臺北市內湖區民權東路六段180巷6號11樓之19,專業照護服務,02-87919104,kjcare.tw@gmail.com,吳姁媛
悠適復健科診所,臺北市,松山區,臺北市松山區光復北路11弄65號,專業照護服務,0920-095-460,g39110004@gmail.com,陳正倫
脊姿維運動物理治療所,臺北市,中正區,臺北市中正區金山南路一段67巷10號1樓,專業照護服務,0905-531-135,justwellclinic@gmail.com,廖奕絜
富康活力藥局,臺北市,南港區,臺北市南港區研究院路一段101巷8號,專業照護服務,0937-964-046,cgaryz1688@gmail.com,蘇崑彰
博昌復健科診所,臺北市,萬華區,臺北市萬華區萬大路221號1樓,專業照護服務,2337-9196,moszkowski.tw@yahoo.com.tw,沈惠民
荃能職能治療所,臺北市,松山區,臺北市松山區寶清街89巷46號,專業照護服務,0928-610-797,clever6405@gmail.com,温俞慧
耆康實業有限公司附設臺北市私立小太陽居家長照機構,臺北市,松山區,臺北市松山區自強里三民路35巷9號2樓,專業照護服務,27420058,tw.softlife@gmail.com,嚴成茂
旭生中醫診所,臺北市,萬華區,臺北市萬華區萬大路526號,專業照護服務,2314-3456#9,amanda.lee0933@gmail.com,陳贊文
中崙諮商中心心理諮商所,臺北市,大安區,臺北市大安區忠孝東路三段54號4樓之一,專業照護服務,2731-9731,g27319731@gmail.com,李予澄
快樂兒童診所,臺北市,萬華區,臺北市萬華區寶興街121號,居家失能個案家庭醫師照護服務,2332-8610,Happy3233@yahoo.com.tw,黃妙玲
臺北市立聯合醫院,臺北市,大同區,臺北市大同區鄭州路145號,個案管理服務,02-25989917,B5646@tpech.gov.tw,蕭勝煌
臺北市立聯合醫院,臺北市,大同區,臺北市大同區鄭州路145號,個案管理服務,02-25989917,B5646@tpech.gov.tw,蕭勝煌
臺北市立聯合醫院,臺北市,大同區,臺北市大同區鄭州路145號,個案管理服務,02-25989917,B5646@tpech.gov.tw,蕭勝煌
臺北市立聯合醫院,臺北市,大同區,臺北市大同區鄭州路145號,個案管理服務,02-25989917,B5646@tpech.gov.tw,蕭勝煌
臺北市立聯合醫院,臺北市,大同區,臺北市大同區鄭州路145號,個案管理服務,02-25989917,B5646@tpech.gov.tw,蕭勝煌
社團法人中華民國士林靈糧堂社會福利協會,臺北市,士林區,臺北市士林區延平北路五段83巷28弄11號1樓,個案管理服務,02-28110515,homeservice@slsc.org.tw,劉群茂
臺北榮民總醫院,臺北市,北投區,臺北市北投區北投石牌路二段201號,個案管理服務,02-28712121#2998,peach82021608@gmail.com,陳威明
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,中山區,臺北市中山區中山北路二段92號,個案管理服務,02-25604176,mwang@mmh.org.tw,張文瀚
社團法人中華民國士林靈糧堂社會福利協會附設新北市私立新店七張社區長照機構,新北市,新店區,新北市新店區國豐里建國路102巷6、8號,團體家屋服務,(02)2911-0260,qizhanggrouphome@slsc.org.tw,劉群茂
天主教耕莘醫療財團法人附設新北市私立新店安康社區長照機構,新北市,新店區,新北市新店區德安里車子路15號13樓,團體家屋服務,02-2212-3066分機51378,akcthsw@gmail.com,鍾安住
財團法人臺北市中國基督教靈糧世界佈道會士林靈糧堂附設臺北市私立天母社區式服務類長期照顧服務機構,臺北市,士林區,臺北市士林區芝山里德行東路338巷12之1號,團體家屋服務,02-28381749,grouphome@slsc.org.tw,許本爵
